q1,q2,q3,U_kin,U_pot,time
0.010000,0.005000,-0.005000,0.000000,0.006241,0.000000
0.009998,0.004998,-0.004997,0.000005,0.006236,0.000100
0.009994,0.004992,-0.004988,0.000019,0.006222,0.000200
0.009986,0.004982,-0.004973,0.000043,0.006198,0.000300
0.009976,0.004968,-0.004952,0.000076,0.006165,0.000400
0.009962,0.004950,-0.004925,0.000118,0.006123,0.000500
0.009946,0.004928,-0.004892,0.000169,0.006072,0.000600
0.009926,0.004903,-0.004853,0.000229,0.006012,0.000700
0.009904,0.004873,-0.004808,0.000298,0.005943,0.000800
0.009878,0.004840,-0.004758,0.000375,0.005867,0.000900
0.009849,0.004803,-0.004701,0.000459,0.005782,0.001000
0.009817,0.004763,-0.004639,0.000552,0.005689,0.001100
0.009783,0.004719,-0.004572,0.000651,0.005590,0.001200
0.009745,0.004671,-0.004498,0.000758,0.005483,0.001300
0.009704,0.004621,-0.004419,0.000870,0.005371,0.001400
0.009660,0.004567,-0.004335,0.000989,0.005252,0.001500
0.009613,0.004510,-0.004245,0.001113,0.005128,0.001600
0.009563,0.004450,-0.004150,0.001242,0.004999,0.001700
0.009510,0.004388,-0.004050,0.001376,0.004865,0.001800
0.009454,0.004323,-0.003945,0.001513,0.004727,0.001900
0.009394,0.004255,-0.003835,0.001654,0.004586,0.002000
0.009332,0.004185,-0.003720,0.001798,0.004443,0.002100
0.009266,0.004113,-0.003600,0.001945,0.004296,0.002200
0.009198,0.004038,-0.003476,0.002093,0.004148,0.002300
0.009126,0.003962,-0.003347,0.002242,0.003998,0.002400
0.009051,0.003884,-0.003213,0.002393,0.003848,0.002500
0.008973,0.003804,-0.003076,0.002543,0.003697,0.002600
0.008892,0.003724,-0.002934,0.002694,0.003547,0.002700
0.008808,0.003641,-0.002788,0.002844,0.003397,0.002800
0.008721,0.003558,-0.002638,0.002993,0.003248,0.002900
0.008630,0.003474,-0.002485,0.003140,0.003100,0.003000
0.008537,0.003390,-0.002328,0.003286,0.002955,0.003100
0.008440,0.003305,-0.002167,0.003429,0.002812,0.003200
0.008340,0.003219,-0.002004,0.003569,0.002671,0.003300
0.008238,0.003134,-0.001837,0.003706,0.002534,0.003400
0.008132,0.003049,-0.001667,0.003840,0.002400,0.003500
0.008023,0.002964,-0.001494,0.003970,0.002270,0.003600
0.007911,0.002879,-0.001319,0.004096,0.002144,0.003700
0.007796,0.002795,-0.001141,0.004218,0.002022,0.003800
0.007678,0.002712,-0.000960,0.004336,0.001905,0.003900
0.007557,0.002631,-0.000778,0.004449,0.001792,0.004000
0.007433,0.002550,-0.000593,0.004557,0.001684,0.004100
0.007306,0.002470,-0.000407,0.004660,0.001581,0.004200
0.007176,0.002393,-0.000219,0.004757,0.001483,0.004300
0.007043,0.002317,-0.000029,0.004850,0.001390,0.004400
0.006908,0.002243,0.000162,0.004938,0.001303,0.004500
0.006769,0.002171,0.000355,0.005020,0.001221,0.004600
0.006628,0.002101,0.000548,0.005096,0.001144,0.004700
0.006484,0.002033,0.000743,0.005168,0.001072,0.004800
0.006338,0.001968,0.000938,0.005234,0.001006,0.004900
0.006189,0.001906,0.001134,0.005295,0.000945,0.005000
0.006037,0.001847,0.001330,0.005350,0.000890,0.005100
0.005883,0.001790,0.001527,0.005401,0.000840,0.005200
0.005726,0.001737,0.001724,0.005446,0.000794,0.005300
0.005567,0.001687,0.001920,0.005486,0.000754,0.005400
0.005405,0.001640,0.002117,0.005521,0.000719,0.005500
0.005242,0.001597,0.002313,0.005551,0.000689,0.005600
0.005076,0.001557,0.002509,0.005577,0.000664,0.005700
0.004908,0.001520,0.002705,0.005597,0.000643,0.005800
0.004738,0.001487,0.002899,0.005613,0.000627,0.005900
0.004565,0.001458,0.003093,0.005625,0.000615,0.006000
0.004392,0.001433,0.003286,0.005632,0.000608,0.006100
0.004216,0.001412,0.003478,0.005635,0.000606,0.006200
0.004038,0.001395,0.003668,0.005633,0.000607,0.006300
0.003859,0.001381,0.003857,0.005628,0.000613,0.006400
0.003679,0.001372,0.004045,0.005618,0.000623,0.006500
0.003497,0.001366,0.004231,0.005604,0.000637,0.006600
0.003314,0.001365,0.004415,0.005586,0.000654,0.006700
0.003130,0.001367,0.004598,0.005564,0.000676,0.006800
0.002944,0.001374,0.004778,0.005539,0.000702,0.006900
0.002758,0.001384,0.004957,0.005509,0.000731,0.007000
0.002571,0.001399,0.005133,0.005476,0.000765,0.007100
0.002383,0.001417,0.005307,0.005438,0.000802,0.007200
0.002194,0.001439,0.005479,0.005397,0.000843,0.007300
0.002006,0.001466,0.005648,0.005353,0.000888,0.007400
0.001816,0.001496,0.005815,0.005304,0.000937,0.007500
0.001627,0.001529,0.005979,0.005251,0.000989,0.007600
0.001437,0.001567,0.006140,0.005195,0.001045,0.007700
0.001248,0.001607,0.006299,0.005135,0.001105,0.007800
0.001059,0.001652,0.006455,0.005071,0.001169,0.007900
0.000870,0.001700,0.006608,0.005003,0.001237,0.008000
0.000682,0.001751,0.006758,0.004931,0.001309,0.008100
0.000494,0.001805,0.006905,0.004856,0.001384,0.008200
0.000307,0.001862,0.007049,0.004776,0.001464,0.008300
0.000121,0.001922,0.007190,0.004693,0.001547,0.008400
-0.000064,0.001985,0.007327,0.004606,0.001635,0.008500
-0.000247,0.002051,0.007462,0.004515,0.001726,0.008600
-0.000430,0.002119,0.007593,0.004420,0.001820,0.008700
-0.000610,0.002189,0.007721,0.004321,0.001919,0.008800
-0.000789,0.002262,0.007845,0.004219,0.002021,0.008900
-0.000967,0.002336,0.007966,0.004113,0.002127,0.009000
-0.001142,0.002413,0.008084,0.004004,0.002237,0.009100
