time, signal
0.000000,-4.980392
0.000000,-4.941176
0.000000,-4.901961
0.000000,-4.862745
0.000000,-4.823529
0.000000,-4.784314
0.000000,-4.745098
0.000000,-4.705882
0.000000,-4.666667
0.000000,-4.627451
0.000000,-4.588235
0.000000,-4.549020
0.000000,-4.509804
0.000000,-4.470588
0.000000,-4.431373
0.000000,-4.392157
0.000000,-4.352941
0.000000,-4.313725
0.000000,-4.274510
0.000000,-4.235294
0.000000,-4.196078
0.000000,-4.156863
0.000000,-4.117647
0.000000,-4.078431
0.000000,-4.039216
0.000000,-4.000000
0.000000,-3.960784
0.000000,-3.921569
0.000000,-3.882353
0.000000,-3.843137
0.000000,-3.803922
0.000000,-3.764706
0.000000,-3.725490
0.000000,-3.686275
0.000000,-3.647059
0.000000,-3.607843
0.000000,-3.568627
0.000000,-3.529412
0.000000,-3.490196
0.000000,-3.450980
0.000000,-3.411765
0.000000,-3.372549
0.000000,-3.333333
0.000000,-3.294118
0.000000,-3.254902
0.000000,-3.215686
0.000000,-3.176471
0.000000,-3.137255
0.000000,-3.098039
0.000000,-3.058824
0.000000,-3.019608
0.000000,-2.980392
0.000000,-2.941176
0.000000,-2.901961
0.000000,-2.862745
0.000000,-2.823529
0.000000,-2.784314
0.000000,-2.745098
0.000000,-2.705882
0.000000,-2.666667
0.000000,-2.627451
0.000000,-2.588235
0.000000,-2.549020
0.000000,-2.509804
0.000000,-2.470588
0.000000,-2.431373
0.000000,-2.392157
0.000000,-2.352941
0.000000,-2.313725
0.000000,-2.274510
0.000000,-2.235294
0.000000,-2.196078
0.000000,-2.156863
0.000000,-2.117647
0.000000,-2.078431
0.000000,-2.039216
63.749979,-2.000000
0.000000,-1.960784
0.000000,-1.921569
0.000000,-1.882353
0.000000,-1.843137
0.000000,-1.803922
0.000000,-1.764706
0.000000,-1.725490
0.000000,-1.686275
0.000000,-1.647059
0.000000,-1.607843
0.000000,-1.568627
0.000000,-1.529412
0.000000,-1.490196
0.000000,-1.450980
0.000000,-1.411765
0.000000,-1.372549
0.000000,-1.333333
0.000000,-1.294118
0.000000,-1.254902
0.000000,-1.215686
0.000000,-1.176471
0.000000,-1.137255
0.000000,-1.098039
0.000000,-1.058824
0.000000,-1.019608
0.000000,-0.980392
0.000000,-0.941176
0.000000,-0.901961
0.000000,-0.862745
0.000000,-0.823529
0.000000,-0.784314
0.000000,-0.745098
0.000000,-0.705882
0.000000,-0.666667
0.000000,-0.627451
0.000000,-0.588235
0.000000,-0.549020
0.000000,-0.509804
0.000000,-0.470588
0.000000,-0.431373
0.000000,-0.392157
0.000000,-0.352941
0.000000,-0.313725
0.000000,-0.274510
0.000000,-0.235294
0.000000,-0.196078
0.000000,-0.156863
0.000000,-0.117647
0.000000,-0.078431
0.000000,-0.039216
0.000000,0.000000
0.000000,0.039216
0.000000,0.078431
0.000000,0.117647
0.000000,0.156863
0.000000,0.196078
0.000000,0.235294
0.000000,0.274510
0.000000,0.313725
0.000000,0.352941
0.000000,0.392157
0.000000,0.431373
0.000000,0.470588
0.000000,0.509804
0.000000,0.549020
0.000000,0.588235
0.000000,0.627451
0.000000,0.666667
0.000000,0.705882
0.000000,0.745098
0.000000,0.784314
0.000000,0.823529
0.000000,0.862745
0.000000,0.901961
0.000000,0.941176
0.000000,0.980392
0.000000,1.019608
0.000000,1.058824
0.000000,1.098039
0.000000,1.137255
0.000000,1.176471
0.000000,1.215686
0.000000,1.254902
0.000000,1.294118
0.000000,1.333333
0.000000,1.372549
0.000000,1.411765
0.000000,1.450980
0.000000,1.490196
0.000000,1.529412
0.000000,1.568627
0.000000,1.607843
0.000000,1.647059
0.000000,1.686275
0.000000,1.725490
0.000000,1.764706
0.000000,1.803922
0.000000,1.843137
0.000000,1.882353
0.000000,1.921569
0.000000,1.960784
63.749979,2.000000
0.000000,2.039216
0.000000,2.078431
0.000000,2.117647
0.000000,2.156863
0.000000,2.196078
0.000000,2.235294
0.000000,2.274510
0.000000,2.313725
0.000000,2.352941
0.000000,2.392157
0.000000,2.431373
0.000000,2.470588
0.000000,2.509804
0.000000,2.549020
0.000000,2.588235
0.000000,2.627451
0.000000,2.666667
0.000000,2.705882
0.000000,2.745098
0.000000,2.784314
0.000000,2.823529
0.000000,2.862745
0.000000,2.901961
0.000000,2.941176
0.000000,2.980392
0.000000,3.019608
0.000000,3.058824
0.000000,3.098039
0.000000,3.137255
0.000000,3.176471
0.000000,3.215686
0.000000,3.254902
0.000000,3.294118
0.000000,3.333333
0.000000,3.372549
0.000000,3.411765
0.000000,3.450980
0.000000,3.490196
0.000000,3.529412
0.000000,3.568627
0.000000,3.607843
0.000000,3.647059
0.000000,3.686275
0.000000,3.725490
0.000000,3.764706
0.000000,3.803922
0.000000,3.843137
0.000000,3.882353
0.000000,3.921569
0.000000,3.960784
0.000000,4.000000
0.000000,4.039216
0.000000,4.078431
0.000000,4.117647
0.000000,4.156863
0.000000,4.196078
0.000000,4.235294
0.000000,4.274510
0.000000,4.313725
0.000000,4.352941
0.000000,4.392157
0.000000,4.431373
0.000000,4.470588
0.000000,4.509804
0.000000,4.549020
0.000000,4.588235
0.000000,4.627451
0.000000,4.666667
0.000000,4.705882
0.000000,4.745098
0.000000,4.784314
0.000000,4.823529
0.000000,4.862745
0.000000,4.901961
0.000000,4.941176
0.000000,4.980392
