U_kin,U_pot,timesteps
47.267473,32.000346,16.732872
31.997102,0.002898,0.100000
31.988409,0.011591,0.200000
31.973925,0.026075,0.300000
31.953655,0.046347,0.400000
31.927605,0.072397,0.500000
31.895786,0.104217,0.600000
31.858208,0.141795,0.700000
31.814887,0.185118,0.800000
31.765836,0.234169,0.900000
31.711075,0.288932,1.000000
31.650622,0.349386,1.100000
31.584500,0.415509,1.200000
31.512733,0.487278,1.300000
31.435346,0.564666,1.400000
31.352369,0.647646,1.500000
31.263830,0.736187,1.600000
31.169762,0.830257,1.700000
31.070199,0.929823,1.800000
30.965176,1.034847,1.900000
30.854733,1.145293,2.000000
30.738909,1.261119,2.100000
30.617746,1.382285,2.200000
30.491288,1.508746,2.300000
30.359581,1.640457,2.400000
30.222671,1.777369,2.500000
30.080610,1.919433,2.600000
29.933449,2.066598,2.700000
29.781240,2.218810,2.800000
29.624039,2.376015,2.900000
29.461903,2.538154,3.000000
29.294891,2.705170,3.100000
29.123062,2.877003,3.200000
28.946480,3.053589,3.300000
28.765209,3.234865,3.400000
28.579313,3.420765,3.500000
28.388860,3.611221,3.600000
28.193920,3.806166,3.700000
27.994563,4.005528,3.800000
27.790861,4.209235,3.900000
27.582888,4.417212,4.000000
27.370718,4.629386,4.100000
27.154431,4.845679,4.200000
26.934102,5.066013,4.300000
26.709813,5.290307,4.400000
26.481644,5.518481,4.500000
26.249678,5.750452,4.600000
26.014000,5.986136,4.700000
25.774694,6.225447,4.800000
25.531847,6.468299,4.900000
25.285548,6.714604,5.000000
25.035885,6.964273,5.100000
24.782949,7.217215,5.200000
24.526831,7.473338,5.300000
24.267625,7.732550,5.400000
24.005424,7.994757,5.500000
23.740322,8.259865,5.600000
23.472417,8.527776,5.700000
23.201806,8.798394,5.800000
22.928585,9.071620,5.900000
22.652855,9.347357,6.000000
22.374715,9.625503,6.100000
22.094265,9.905959,6.200000
21.811608,10.188623,6.300000
21.526846,10.473391,6.400000
21.240082,10.760162,6.500000
20.951419,11.048831,6.600000
20.660963,11.339293,6.700000
20.368819,11.631444,6.800000
20.075092,11.925178,6.900000
19.779889,12.220387,7.000000
19.483317,12.516966,7.100000
19.185483,12.814807,7.200000
18.886495,13.113802,7.300000
18.586461,13.413842,7.400000
18.285491,13.714820,7.500000
17.983693,14.016625,7.600000
17.681176,14.319149,7.700000
17.378050,14.622281,7.800000
17.074425,14.925913,7.900000
16.770410,15.229934,8.000000
16.466117,15.534235,8.100000
16.161655,15.838704,8.200000
15.857134,16.143231,8.300000
15.552665,16.447707,8.400000
15.248358,16.752021,8.500000
14.944323,17.056063,8.600000
14.640671,17.359722,8.700000
14.337511,17.662889,8.800000
14.034954,17.965453,8.900000
13.733108,18.267306,9.000000
13.432083,18.568337,9.100000
13.131988,18.868439,9.200000
12.832933,19.167501,9.300000
12.535025,19.465416,9.400000
12.238371,19.762076,9.500000
11.943081,20.057373,9.600000
11.649260,20.351201,9.700000
11.357015,20.643453,9.800000
11.066451,20.934023,9.900000
10.777675,21.222805,10.000000
10.490791,21.509696,10.100000
10.205902,21.794591,10.200000
9.923112,22.077387,10.300000
9.642524,22.357982,10.400000
9.364238,22.636274,10.500000
9.088356,22.912162,10.600000
8.814978,23.185547,10.700000
8.544202,23.456329,10.800000
8.276128,23.724409,10.900000
8.010851,23.989692,11.000000
7.748468,24.252081,11.100000
7.489074,24.511481,11.200000
7.232763,24.767798,11.300000
6.979628,25.020939,11.400000
6.729760,25.270812,11.500000
6.483251,25.517327,11.600000
6.240188,25.760395,11.700000
6.000661,25.999927,11.800000
5.764757,26.235837,11.900000
5.532560,26.468040,12.000000
5.304154,26.696450,12.100000
5.079623,26.920986,12.200000
4.859048,27.141567,12.300000
4.642508,27.358111,12.400000
4.430083,27.570541,12.500000
4.221849,27.778780,12.600000
4.017881,27.982753,12.700000
3.818253,28.182385,12.800000
3.623039,28.377604,12.900000
3.432307,28.568340,13.000000
3.246128,28.754523,13.100000
3.064569,28.936086,13.200000
2.887696,29.112963,13.300000
2.715573,29.285090,13.400000
2.548261,29.452406,13.500000
2.385823,29.614848,13.600000
2.228316,29.772359,13.700000
2.075797,29.924880,13.800000
1.928323,30.072358,13.900000
1.785945,30.214739,14.000000
1.648717,30.351970,14.100000
1.516687,30.484003,14.200000
1.389904,30.610789,14.300000
1.268413,30.732283,14.400000
1.152258,30.848440,14.500000
1.041482,30.959219,14.600000
0.936124,31.064579,14.700000
0.836223,31.164483,14.800000
0.741815,31.258893,14.900000
0.652934,31.347776,15.000000
0.569612,31.431100,15.100000
0.491880,31.508834,15.200000
0.419765,31.580950,15.300000
0.353294,31.647423,15.400000
0.292491,31.708227,15.500000
0.237378,31.763341,15.600000
0.187974,31.812746,15.700000
0.144299,31.856423,15.800000
0.106366,31.894356,15.900000
0.074192,31.926531,16.000000
0.047786,31.952938,16.100000
0.027158,31.973566,16.200000
0.012317,31.988408,16.300000
0.003267,31.997458,16.400000
0.000011,32.000713,16.500000
0.002551,31.998173,16.600000
0.010887,31.989838,16.700000
0.025014,31.975710,16.800000
0.044927,31.955796,16.900000
0.070621,31.930102,17.000000
0.102084,31.898638,17.100000
0.139307,31.861415,17.200000
