kinetic_energy,potential_energy,time
0.000000,-809.385692,0.000000
3897027.626315,2092.345010,0.500000
12267820.717145,2349.025759,1.000000
15412782.246436,2353.928226,1.500000
19940026.597403,2110.109985,2.000000
22166602.006858,2526.659733,2.500000
25231304.326082,2826.111588,3.000000
29169477.487606,2520.535389,3.500000
37182999.948424,2486.762858,4.000000
40470382.028594,2667.050057,4.500000
44728640.713529,2791.771459,5.000000
49399712.852198,2218.610206,5.500000
53537565.177880,2262.526978,6.000000
58669251.113969,2561.271519,6.500000
63955550.587650,2100.200277,7.000000
68226317.240468,2263.185732,7.500000
70577554.279146,2721.273792,8.000000
75374655.128753,2125.662301,8.500000
77575366.842797,2443.128696,9.000000
83826646.784792,2526.478101,9.500000
84967256.676216,2327.446120,10.000000
113422465.264506,2481.670945,10.500000
121094934.806340,2997.113257,11.000000
126040105.875254,2618.273100,11.500000
134224093.162123,2438.558247,12.000000
145401176.380210,2641.762951,12.500000
151685402.101306,2128.393941,13.000000
159670086.015928,2725.733458,13.500000
176695426.909675,2318.029715,14.000000
187439814.487657,3252.209507,14.500000
194943242.677232,2095.105605,15.000000
204049983.280929,3041.265310,15.500000
208363346.574383,2452.169416,16.000000
215295568.134313,2333.069672,16.500000
219098395.611199,2506.214712,17.000000
228758837.535346,2601.711872,17.500000
271496623.209627,2897.249597,18.000000
279942927.198856,2516.289991,18.500000
290104338.593390,2345.871379,19.000000
298374804.314188,2269.792567,19.500000
300749223.939834,2743.926909,20.000000
308668776.648350,2081.660248,20.500000
309429304.643177,2476.621838,21.000000
316035875.887216,2740.399792,21.500000
322358129.156765,2653.706404,22.000000
327714158.677761,2844.324745,22.500000
332524801.341112,2404.565211,23.000000
340372623.304073,2503.274633,23.500000
363349785.852362,2258.903787,24.000000
368651335.985549,1814.824303,24.500000
370958111.630123,2584.714009,25.000000
374492051.025326,2938.500417,25.500000
381509601.689422,3182.129877,26.000000
397328433.769676,2959.240091,26.500000
401635546.032089,3487.963934,27.000000
406417579.140597,2857.810108,27.500000
407890736.637652,3717.886756,28.000000
415186616.555165,2869.957535,28.500000
427250174.165437,2801.300600,29.000000
433995952.767981,2593.073893,29.500000
445777889.976697,2221.564728,30.000000
455726041.994604,2527.012360,30.500000
456256469.143539,2865.184733,31.000000
461385855.273383,2570.621684,31.500000
470391920.309814,2907.191580,32.000000
469131366.511003,2665.777376,32.500000
471722779.150581,2029.698917,33.000000
485608510.299254,2444.045361,33.500000
495609031.629827,2558.814237,34.000000
499093537.881729,1934.670565,34.500000
501685413.858344,2128.936541,35.000000
503662126.335993,3112.248836,35.500000
509365752.228379,2496.896974,36.000000
517088322.057340,2303.393360,36.500000
522522631.466035,2042.905934,37.000000
529653060.006521,2829.759818,37.500000
533695608.144147,2398.611215,38.000000
537424989.188401,2137.564260,38.500000
539584153.515458,2329.703723,39.000000
547955046.515120,2229.496620,39.500000
552968216.870134,2788.344362,40.000000
571771028.703323,2538.142001,40.500000
577831696.353697,2548.489828,41.000000
575550780.002602,2491.194062,41.500000
590051609.428900,2637.250413,42.000000
589309996.045977,2764.723101,42.500000
591915120.150308,3132.582821,43.000000
595062140.309737,2446.367040,43.500000
607770965.171550,2425.300831,44.000000
613765677.117252,2274.970713,44.500000
624270478.222007,2479.639634,45.000000
636414966.203261,3076.329107,45.500000
641799311.243904,2262.558457,46.000000
639966952.319865,2241.929230,46.500000
644609473.419698,2110.883984,47.000000
643660092.045070,2971.311685,47.500000
650808049.691611,2679.953312,48.000000
659664047.773127,3153.300802,48.500000
667171301.052889,2728.924615,49.000000
673026517.704234,2357.894204,49.500000
670578503.963684,2501.610931,50.000000
676287313.912510,2373.252507,50.500000
685987436.338621,2559.997949,51.000000
709043426.910200,2712.450036,51.500000
714021847.378383,3478.444924,52.000000
745379771.988329,2414.143953,52.500000
754616930.142097,2416.744315,53.000000
756653076.165551,2389.086014,53.500000
771625767.153148,2404.430946,54.000000
778637883.888409,2256.572271,54.500000
779327617.565624,2189.065022,55.000000
785293870.741772,2902.682316,55.500000
803574318.671103,2451.784995,56.000000
807661375.645700,3021.403617,56.500000
815462460.747050,2368.939198,57.000000
822454236.458610,2145.319312,57.500000
826314552.408879,2415.215884,58.000000
854241001.551249,3092.834000,58.500000
857054032.106247,2319.864591,59.000000
869162673.778404,2711.815456,59.500000
872092495.054121,2327.823739,60.000000
874473140.351028,2870.598853,60.500000
901468065.071906,2991.140367,61.000000
904323545.272632,2804.487240,61.500000
914773289.845385,2697.516616,62.000000
913564041.850132,2334.753102,62.500000
975116965.543627,2552.392568,63.000000
985105176.751429,2796.234066,63.500000
991715455.228097,2257.860167,64.000000
1008364959.512719,2414.609645,64.500000
1014995935.608567,2399.900623,65.000000
1013852729.597660,2554.733229,65.500000
1021141898.705561,2049.420563,66.000000
1017299918.067274,2383.167281,66.500000
1021608685.410257,2235.726134,67.000000
1025980656.785081,2754.071122,67.500000
1037228024.129419,1692.376336,68.000000
1047458194.000391,2670.180583,68.500000
1043349713.545171,2547.423521,69.000000
1035976078.961371,2837.328262,69.500000
1043466832.449923,2507.631128,70.000000
1059416407.943565,2641.274270,70.500000
1065345770.258730,2266.867305,71.000000
1076672825.838517,2342.700500,71.500000
1086827105.201174,3285.859909,72.000000
1087765231.236899,2572.945496,72.500000
1089309596.812009,2651.811018,73.000000
1096914571.995215,2688.305196,73.500000
1122872835.659422,2755.473239,74.000000
1130816930.764815,2128.734385,74.500000
1146991514.131616,2009.461657,75.000000
1158597035.907609,2206.654263,75.500000
1169058816.859047,2456.951566,76.000000
1180216760.123827,2331.284858,76.500000
1191069212.061228,2176.490904,77.000000
1197330734.293143,2305.351493,77.500000
1199826634.695044,3193.342321,78.000000
1197255034.101404,2490.632605,78.500000
1197988482.373394,3050.738870,79.000000
1202723298.530925,2753.427737,79.500000
1217731160.034382,2817.082942,80.000000
1220084085.797082,2452.606050,80.500000
1228412354.489306,2569.923646,81.000000
1233331860.250773,2685.803494,81.500000
1237216897.743828,2106.970618,82.000000
1243136164.849276,2631.309396,82.500000
1246171535.979174,2725.902872,83.000000
1255374679.802803,3096.971595,83.500000
1266772099.617833,2475.175172,84.000000
1276857758.280591,2857.045485,84.500000
1284252162.593586,2583.083458,85.000000
1289338057.842586,3089.062000,85.500000
1325732545.515446,2491.043799,86.000000
1334847144.904042,2379.253719,86.500000
1337686438.753528,2547.782250,87.000000
1339784695.579461,2555.075801,87.500000
1356214835.982664,1885.405609,88.000000
1353582488.977262,2306.816122,88.500000
1352100127.374469,2333.508072,89.000000
1350588614.310904,2498.155314,89.500000
1357520819.926201,2750.806571,90.000000
1371299042.176734,1966.250848,90.500000
1365264030.268613,2511.624638,91.000000
1360387715.801193,2308.347858,91.500000
1362139449.908704,2267.962552,92.000000
1370695613.410307,2343.473790,92.500000
1378758380.243417,2246.584325,93.000000
1389594036.318873,2468.721139,93.500000
1394906841.459557,2555.404603,94.000000
1406765050.331055,2315.181833,94.500000
1409302958.226074,2395.672430,95.000000
1409518564.869774,2354.347624,95.500000
1406235299.906568,2205.449814,96.000000
1427952005.193420,2723.210460,96.500000
1435773361.871967,2057.961897,97.000000
1436682617.621495,2738.544866,97.500000
1446989267.979000,2468.175130,98.000000
1451238348.470666,2531.738944,98.500000
1457955364.158507,2365.952544,99.000000
1462335163.765905,2122.216209,99.500000
