x,y,z
23.759696,63.382259,52.295047
5.953131,29.406371,72.639022
50.660091,25.798753,55.275814
55.143149,17.373978,107.083910
63.643016,100.619377,66.941028
115.805839,79.754671,112.206826
79.463187,45.011536,66.729585
107.285343,69.402276,86.321367
37.031436,34.599006,89.496226
37.725876,38.595336,46.955591
83.569176,32.600973,42.466053
68.710389,58.816834,48.496839
36.591407,82.683833,52.232724
67.462509,87.744818,43.877327
44.667152,71.337961,53.650907
60.160208,88.609592,67.420763
-24.673002,56.992479,83.371272
71.911106,88.135429,89.050184
53.587813,80.484448,30.073310
86.256620,70.902106,52.395591
58.505029,133.530191,49.137166
57.000037,99.858690,57.942819
92.677024,96.901479,39.535046
123.944171,108.272380,79.755762
188.924237,112.635521,66.145810
54.287154,68.015779,63.327164
39.088660,59.464280,17.440133
90.337337,17.006785,-28.694633
106.230906,34.044571,65.333453
102.425814,67.908363,22.070926
109.651465,68.706199,33.450918
94.437262,57.853403,25.829358
-244.119235,-239.944770,-10.079134
78.579615,82.342996,30.182738
80.036995,84.132616,37.335230
-28.528354,223.797189,211.412881
-30.636299,5.795479,106.170451
29.897745,60.179903,101.683853
122.367050,120.352513,52.521419
54.030061,86.436688,-14.843492
-6.457542,81.410520,57.080250
97.034442,12.481751,52.895552
9.934584,72.019490,-6.583176
91.453190,57.806054,75.660422
57.181088,83.823702,127.657595
60.759129,87.697003,13.308784
68.664318,85.103408,29.141655
59.498370,50.555167,70.023525
159.894399,54.381890,76.442591
116.907802,75.874638,45.970718
88.140116,35.910220,33.237317
34.133730,68.214840,78.854084
62.674124,137.352210,100.994506
97.603739,111.213319,62.466515
105.644255,99.555005,38.915002
87.132820,139.715930,25.675099
490.112798,107.485321,-140.965639
11.888528,90.283994,69.675968
126.679082,38.267299,67.579175
373.076351,115.679196,344.456910
86.127949,6.300316,39.041340
52.144274,50.192458,47.349875
30.913356,70.635863,38.015284
80.813241,33.038892,25.909996
47.179377,86.573974,49.124505
59.149722,28.077287,60.930100
103.004560,42.950192,109.038029
-6.392853,49.158568,78.801555
27.844215,65.716053,12.562857
14.533673,54.606004,-39.228533
52.776286,27.316146,86.681229
55.023610,52.840963,105.019470
41.947553,29.856266,10.840795
48.433975,55.574077,50.962180
75.798211,59.989823,90.140914
67.290940,42.018684,76.297952
72.034479,104.816873,61.961618
53.139528,105.479074,94.361292
58.562004,46.567127,79.976465
94.336868,98.364145,65.254934
103.438252,143.952880,54.738918
45.835928,101.750252,62.980364
16.137375,50.637286,23.503143
111.187513,72.627208,79.287336
69.508570,111.859507,59.408427
104.175641,21.197610,142.192895
105.819918,58.333379,40.595775
56.002760,79.938467,60.855425
67.278790,81.227665,18.074734
70.337404,61.515330,5.109877
68.105233,84.847067,42.743946
109.214321,87.482591,48.597083
30.337080,68.643468,55.939733
116.449023,69.525539,69.708725
92.202779,73.735528,7.922836
89.767148,86.093330,56.336654
126.455592,91.882852,113.157569
81.935222,85.877928,36.382012
98.693828,44.466976,71.451267
104.011622,24.148843,5.821621
55.837581,79.013270,63.454691
-0.497486,100.185906,44.993889
96.794637,54.155480,79.029694
92.061499,51.606351,72.373461
20.632120,92.398272,34.798796
105.937458,51.733796,51.734413
50.455522,83.250480,105.672053
128.951338,74.975443,75.789183
30.527979,50.007546,116.241113
27.984375,112.607979,90.815685
37.294418,80.355456,56.909948
101.823441,96.022364,84.508799
56.431257,118.682523,99.205552
52.223094,85.041445,51.089768
77.222755,62.193569,67.657188
114.519292,34.986965,83.939827
43.103517,124.664212,23.033131
49.316735,62.716049,73.217745
67.113326,96.965124,85.365611
69.224608,50.418156,60.301846
140.154456,2.351248,123.178534
85.836283,145.100155,48.849424
166.228932,158.203787,112.514587
109.049337,55.485042,107.359503
96.885917,113.924212,98.416533
78.760132,73.084971,66.023031
67.093427,139.423073,36.548906
48.947109,46.818239,65.200879
83.292092,22.677341,46.482847
130.339925,76.284189,45.453762
60.333875,38.491640,88.450392
-34.624394,50.117261,137.677320
95.499416,59.032503,126.659489
110.812845,56.920793,76.600758
72.938752,44.791976,105.213416
64.987378,56.418036,61.539085
59.163100,12.547037,49.940184
97.399761,40.052206,64.436883
55.649489,49.547057,82.888453
69.115624,81.715048,22.449454
57.882582,96.622290,102.795566
84.289027,40.050668,80.938908
112.958127,10.745636,48.518838
156.076072,44.118399,84.755658
57.238982,59.508360,91.628296
88.360693,5.060302,85.887577
63.488841,77.363408,79.696716
131.821338,119.794665,99.514394
58.285670,71.892690,65.816877
49.656659,102.105738,92.726235
77.742596,101.087540,58.534320
79.280098,128.561772,39.671426
58.296747,120.567986,103.517741
30.927483,111.673465,42.594717
70.476650,45.743239,77.610982
124.553563,83.433948,79.604902
50.755654,73.115008,73.681745
64.492032,81.236355,76.994455
68.297579,117.533158,80.537864
74.269965,119.576063,92.802797
54.735732,19.834579,124.002041
92.361266,34.743489,131.739855
128.159149,45.482257,141.302613
65.362808,49.602599,47.281899
47.610850,12.852398,23.281012
-1.349631,96.108243,112.017733
32.029631,68.197784,74.175882
94.749117,72.873960,119.851576
119.688458,139.885195,151.853160
76.825112,110.560084,118.643116
80.125628,-12.720232,193.225289
100.398646,36.679909,72.295565
61.261836,52.499319,85.364383
71.577633,65.975481,117.641966
59.117202,37.149220,90.799593
64.734063,40.046517,58.889920
9.083861,74.632291,102.080381
93.446466,45.930179,89.078056
84.397005,59.406900,40.969101
86.215976,86.889585,124.466678
78.435386,162.850425,107.948544
56.368763,118.479035,91.128592
66.103303,76.650225,66.729192
122.300583,81.302115,59.654247
136.943061,105.344752,27.230025
72.895635,76.937206,51.534046
153.294878,70.702988,31.605135
82.362171,83.124778,156.640761
58.637736,94.785278,136.926460
67.362241,87.488842,87.695980
85.718902,89.442388,91.263588
50.584463,41.883406,31.025553
72.953732,92.996370,48.523263
52.220642,78.915531,119.297522
65.721230,104.811001,101.735881
4.215186,-55.993119,150.194443
18.822186,80.914542,61.316530
-9.527159,123.734839,63.096428
83.033087,93.093641,64.059841
66.502893,41.572215,66.394096
24.946543,31.337328,49.952441
60.829558,-18.762649,59.672445
61.823345,59.374757,104.369565
81.063573,74.869917,89.298465
89.105800,45.160065,109.979334
80.404083,26.375301,86.461697
107.080169,40.119079,95.328230
74.067043,68.276382,60.699454
76.845078,84.535295,109.288026
33.954736,92.706088,74.613726
61.913526,63.759922,44.972203
130.317625,63.013120,43.664073
75.302744,102.012355,62.759537
152.653765,227.710752,141.799233
71.608563,125.901489,91.422182
101.634845,83.330626,81.863462
18.228564,113.250493,184.820257
60.502125,48.342545,63.346838
67.847726,78.315267,61.705424
156.208981,134.440146,99.798750
51.947913,62.193835,41.357134
37.032214,57.279322,34.781133
98.854042,67.361853,97.448079
65.413587,30.845787,99.994449
-31.248568,182.259968,135.977389
45.235429,61.297977,78.268082
41.155600,74.107198,96.734006
54.724823,121.427180,96.787040
70.997480,116.516192,67.981290
80.327577,74.807849,99.811754
9.141777,42.364985,13.583245
158.338423,43.232943,140.662797
-39.618401,93.872698,54.127865
71.686767,17.376080,96.255212
164.318820,-2.862296,20.470296
90.532812,42.233851,67.151265
72.318402,63.347848,106.003198
53.363945,57.338832,88.327423
61.182440,94.418091,80.883602
98.203918,86.058821,81.633745
55.530879,81.921764,56.015700
49.502728,79.112242,54.406963
81.106582,88.077254,88.288975
91.192581,95.706085,77.370429
36.851056,108.862801,91.639459
30.538631,79.895763,114.762947
92.954415,80.754188,101.058945
96.960599,65.335444,85.807808
14.865242,157.206705,-135.189657
108.868955,122.639121,78.345675
187.599974,78.798670,68.266047
-154.845964,-18.390325,179.069908
43.858990,106.186045,81.297350
47.083131,95.245605,69.284236
101.359404,103.508407,89.786392
141.809854,91.241766,34.978125
