x,y,z
-5.507092,0.381769,-2.325298
-1.400354,-0.709156,0.992932
2.874434,-9.749502,7.805181
0.147567,3.310811,-4.113317
7.456530,-3.264922,2.342889
10.098261,3.335574,4.487002
-2.199430,2.121412,-5.486227
-5.099698,-12.301937,-6.819887
-2.228748,-0.604422,0.381131
-3.888773,-2.259539,3.465724
0.234992,1.013406,2.777911
2.123650,5.199432,9.712731
2.921787,4.496314,4.252230
-1.827756,1.388057,-6.183833
1.634517,2.023672,0.595295
1.109876,-9.866023,8.576320
2.144521,5.237585,-0.344362
-1.040482,3.258966,-2.034852
1.103127,2.077719,-4.853530
1.039291,2.812756,-1.760125
3.090261,-5.040632,2.544836
0.439885,5.557841,-2.635684
-3.624819,0.475606,-3.758630
-0.926160,-1.149214,0.697722
-6.139603,-0.936450,-0.049191
3.670204,-3.213445,3.710888
2.513895,6.361340,9.168152
-2.131102,3.876888,-4.828445
4.491280,-2.186222,3.620681
-1.577742,-4.337495,8.248607
-0.631601,1.962145,5.315041
-0.412211,-1.593651,7.524160
5.915998,-4.139724,-1.177112
-6.568469,-0.279154,2.754896
-2.496033,-4.623369,7.229864
-3.447915,-1.387702,-3.258153
6.586753,1.012868,4.655142
5.628965,-4.244293,2.140350
0.729614,3.642138,-2.979694
-0.901824,0.592101,-1.409979
-4.949922,2.291860,-4.488521
3.870981,4.111660,0.473058
3.212648,-0.971467,-0.260742
-0.058624,0.033845,6.966721
-7.233355,-1.683896,-2.137830
5.803593,2.714507,-4.930634
-1.631242,-5.836689,-4.029395
2.536938,-3.919431,0.264334
-2.658921,8.009350,-8.603248
0.409826,0.850958,3.418069
-1.011455,-5.597593,1.745739
-6.265428,-0.091117,-2.392221
1.966369,0.797577,-4.540873
-2.289649,4.180832,2.062006
1.321153,-1.319209,-1.760836
2.320685,2.924256,-3.679794
-2.139238,-1.694280,-1.674560
-10.044308,0.256110,0.351614
-0.021516,7.860379,0.124681
6.266500,-4.076342,-5.496448
4.892436,3.639616,3.567997
0.597964,6.708606,-3.295856
-4.491056,0.996802,1.954348
6.668736,0.891224,-3.636298
0.146607,5.499239,-0.904133
0.449493,-1.247318,7.427727
-1.452996,4.141356,6.254261
7.230496,-1.046329,1.211887
-0.930523,3.064479,9.452133
-3.604017,-2.680592,-6.750060
-4.784973,-1.217186,-1.354587
0.739893,11.020973,4.604952
0.577114,2.327396,-3.041343
0.623845,8.827011,0.418986
3.692376,-5.891471,6.943470
6.098275,3.444627,-1.415981
-0.427089,-8.438433,2.681030
-1.924023,4.247082,1.049859
0.461828,5.863546,2.116235
1.586692,-4.605998,-5.754619
3.884006,4.075118,-4.764538
3.446469,-2.459068,-1.662147
4.493004,-1.716775,-4.459741
-3.413060,-0.974883,-2.658169
1.194152,7.613120,-1.996374
0.998219,1.946056,-2.339212
1.932091,0.950718,2.434128
-0.719807,5.915010,2.268851
3.000685,-0.089299,1.278134
-4.646670,-2.232340,-0.018365
-8.925052,-8.932921,3.564894
2.853456,0.661118,2.677540
1.963245,-2.738937,-1.752928
0.116144,-3.406165,1.146705
-6.410048,-3.873903,5.391523
-4.180345,-6.612860,-5.053616
-2.574788,9.784429,1.157108
-1.687927,2.543558,-1.079915
-4.280967,-3.489979,0.618514
-4.625210,-0.435964,-1.875834
-6.246800,-11.887206,-5.594849
-0.315466,-0.097741,-3.611833
3.151420,1.123898,-2.405607
5.378785,-3.858630,3.306975
-1.983739,-0.778748,3.274592
2.475202,-3.539363,1.401398
3.693329,-2.430474,-2.763105
2.761085,-3.630639,2.688735
-7.192774,-0.148447,3.128098
-8.274370,1.110029,-3.470684
7.239701,5.678566,-8.715382
3.870363,8.128248,2.353540
-7.654675,1.369856,1.490396
3.711191,5.705100,2.903242
-2.277392,-2.722526,-1.924444
-0.071521,-0.449567,2.253731
0.230811,-4.616732,2.885792
0.090281,-0.662856,0.084097
-1.294542,-0.805883,4.189485
0.016275,3.484237,-2.349000
3.590111,-2.195800,-2.835210
5.013701,3.036208,1.121125
-4.315957,3.656911,-1.756988
-2.333409,-3.536185,-3.287621
9.551364,-1.032957,7.792813
-0.445107,3.662701,1.877011
-4.932586,3.244730,0.100088
3.267659,-2.045122,-7.439935
2.621417,1.979688,-4.830840
1.973621,0.079213,6.559443
-1.199904,0.240915,-3.487333
-3.122719,0.054278,2.036554
0.734066,-2.913692,1.215968
1.234253,4.570402,-2.359547
-4.348018,-14.045094,-2.926685
-10.204641,-3.196225,2.232113
3.711260,-1.693959,0.729086
1.784438,1.822967,-0.861911
-0.362814,-11.440789,-0.656004
-5.623426,-6.219502,0.412705
2.900897,4.172301,-0.182011
-2.011873,6.535100,6.136678
1.091880,-8.409607,1.407537
6.382296,-0.574252,-1.237817
1.826983,3.229268,9.829455
3.581552,-5.721406,1.397156
0.558773,1.799005,-0.582432
-2.350027,-0.403749,6.781061
-1.004669,-6.034308,-3.181598
-2.483042,-5.152240,2.448869
7.882221,-0.480945,0.038660
-3.747684,-4.735405,2.082496
3.414801,-0.384531,-3.024161
-5.840752,0.420715,3.728539
-1.321694,-5.760470,-8.320094
4.152419,-6.495081,-2.539269
-1.753337,2.680373,1.864408
6.786033,-2.971227,1.412735
-3.792210,1.265269,-1.437112
-2.979003,-0.217439,0.732599
-2.917102,-5.436490,-5.397317
-1.770126,-2.721596,-2.234176
-0.262977,6.744569,1.691219
1.903084,-4.133795,0.685616
1.162561,4.217901,2.345004
-2.500181,-0.335536,0.410007
-4.874272,-1.568748,-3.778151
5.707975,2.222386,3.873910
4.767494,-6.324812,-2.993861
-13.895656,4.681945,3.590513
-1.835552,6.728642,-1.799298
3.644976,3.029471,3.703720
-1.327341,2.743941,-0.673411
2.214545,-1.063503,-0.213597
1.809481,0.999006,-4.353347
0.420601,3.053778,-6.900859
-4.449151,-8.704232,-7.735306
-3.085477,5.128252,0.561549
0.593720,-5.748664,-2.407821
-5.238654,-3.228815,-4.083481
-3.843883,-1.306473,-5.093997
-4.128846,-1.614307,1.578368
-3.421737,-1.377551,2.349256
1.836554,2.834983,6.372131
7.104188,1.585542,4.692552
0.226078,5.374609,0.453250
3.192523,8.926849,-3.785579
2.671184,0.929685,-0.665426
2.705384,-2.040532,0.472829
3.292330,-1.776560,-8.475091
6.670703,2.266862,4.280893
-2.212657,5.390726,-6.456254
-0.535601,-0.014886,-2.113729
3.139290,-2.220293,3.400162
-3.773036,-2.586514,3.777034
1.922710,-2.626291,0.182376
-4.770069,2.243317,-2.439564
2.909485,4.153779,-6.400930
-1.909896,2.888696,3.139469
7.863681,3.454668,-0.318733
2.508042,-7.998498,-0.243551
3.406417,-0.490014,-7.225493
2.500470,6.273106,3.013707
-0.715288,-5.522858,2.091722
-6.489511,9.673902,-6.686826
-11.943978,3.248223,5.911536
2.937931,-2.180454,8.660371
-0.627552,12.099730,-9.240418
7.249798,-1.390633,-0.632278
1.935169,5.031886,-3.322634
9.631120,1.751611,-1.959937
0.438372,-7.771375,-0.162421
-8.202317,-5.293546,-4.114438
2.300159,1.088247,2.723502
3.115391,-3.310896,1.534162
1.047346,-5.612408,-4.789630
3.603230,-4.253802,4.755364
-2.554578,-2.602475,-2.632095
-1.091882,-2.686471,-8.321817
-3.971987,2.864044,-0.796236
-2.491141,1.823302,-3.635576
4.244973,-0.750754,3.618953
-8.188244,1.776427,-5.040815
-4.009721,0.626697,-4.124944
-1.009455,-1.704810,-0.264780
-6.963057,-1.353287,2.154621
5.549443,-0.355365,-3.229896
0.691118,7.105926,6.155247
-4.830287,0.620365,-1.412959
-1.157098,-4.114810,3.605617
-5.400313,-1.585672,0.754443
-0.691126,-0.890447,2.814504
4.311771,0.548321,0.175401
1.481396,-2.977732,-3.763800
3.526119,0.214600,-4.075716
1.685618,1.334635,1.964058
8.767254,2.898889,0.444120
-1.838372,-1.210967,1.036932
-6.354875,-4.642445,3.534251
0.991414,1.339922,-3.707438
