x,y,z
0.212635,-0.059634,-0.054657
3.945336,0.039556,0.162353
8.151485,-0.057304,0.185609
12.163132,0.021831,-0.056615
2.032876,1.797958,0.035336
6.157652,1.906220,0.261495
10.230101,2.236548,0.073643
14.181004,2.060268,-0.058573
0.030239,3.973590,-0.235124
4.184854,3.887157,0.165657
8.090702,4.295024,0.213869
12.211897,4.007552,0.117116
1.993372,5.939473,-0.014354
6.054560,6.071454,-0.063087
10.074527,6.164297,0.006260
14.253317,6.068671,-0.004226
0.054404,8.039287,0.131515
4.037650,8.025178,-0.116895
8.249223,8.184537,0.043501
12.147659,8.087956,0.094976
1.949843,10.053438,-0.015351
6.292917,10.195927,0.042555
10.473405,10.264649,-0.052267
14.172630,10.008089,-0.237989
-0.008665,12.083700,0.116126
4.224048,12.108401,0.010877
8.210655,12.119314,-0.095579
12.341582,12.116307,-0.042282
2.000254,14.079418,-0.120940
6.077905,14.275224,0.031293
10.392147,14.254353,-0.121127
14.376099,14.284049,-0.119197
1.981988,-0.293183,2.017345
6.011137,0.129599,2.196748
10.221549,0.174715,1.882730
14.070156,0.102375,1.873558
0.071594,1.961501,1.828814
4.100281,2.052761,2.118462
8.231068,2.075865,2.083757
12.321259,2.186367,2.123763
1.855381,4.009907,1.783550
6.074952,3.900772,2.079110
10.144989,4.215948,2.070182
14.286563,4.108727,1.923586
-0.008279,6.088939,2.074539
4.077381,6.119336,2.036597
8.152475,6.282496,2.147006
12.143127,6.067585,2.025822
2.130846,8.001556,1.894978
5.859879,7.959456,2.016097
10.240465,8.109240,1.895864
14.234430,8.076125,2.001966
0.046496,10.209534,1.971217
4.132024,10.306741,1.989739
8.291356,10.252097,2.082516
12.298758,10.066680,2.044874
2.194606,12.064492,2.186458
6.252619,12.292018,2.232670
10.309217,12.284836,2.194653
14.229212,12.079295,2.028936
0.049032,14.047154,1.900466
4.152043,13.973687,2.026988
8.294227,14.303215,2.076793
12.290257,14.250144,1.918848
0.144629,-0.026644,3.997631
3.826160,-0.332712,4.107455
8.348795,-0.018265,4.053365
11.981782,-0.026485,4.257395
2.008628,1.926988,4.086131
5.995877,1.940080,4.202226
10.227657,2.149075,4.034214
14.235166,2.195913,3.858775
-0.022139,4.130247,3.984185
3.810046,3.970975,3.870497
8.159641,4.275698,3.883679
12.163194,4.289144,4.107502
1.981510,6.119980,3.971592
5.978163,6.103352,4.120929
10.445071,6.343891,4.108862
14.323544,6.250234,3.988713
-0.069301,8.154092,3.852717
4.134692,8.008280,4.123093
8.363275,8.259162,4.052200
12.410952,8.080467,4.029540
2.148116,9.940570,4.035408
6.026770,10.144745,4.200897
10.415169,10.073309,4.140050
14.302383,10.114466,4.255112
-0.140873,12.216774,4.069087
4.139114,12.025187,4.303653
8.203913,12.195033,4.048819
12.453584,12.259621,4.131014
1.853718,14.096577,4.175363
6.202173,14.195931,4.046844
10.231786,14.004114,4.159691
14.155381,14.533457,3.818050
2.166119,0.020155,5.971638
5.772008,-0.066796,6.105742
10.211741,0.020417,6.182296
14.115613,0.181462,5.817760
0.177526,1.805597,6.014588
4.118169,2.209241,6.179287
7.966988,1.852604,6.125865
12.120846,2.044811,6.205992
2.156695,4.028398,6.173766
6.287969,4.094811,6.027451
10.115952,4.021885,5.943514
14.002201,3.959842,6.196287
0.090428,6.014068,6.230870
4.224769,5.899743,6.192203
8.186979,6.324384,6.060273
12.342016,6.179730,6.084038
1.941563,8.273066,6.179312
6.132628,8.278898,6.080986
10.544334,8.165669,6.218422
14.489549,8.071291,6.166273
0.109691,10.333492,6.108767
4.118963,10.210805,6.244481
8.184913,10.074621,6.030895
12.189872,10.264603,6.293097
1.815929,12.293207,6.080659
6.299725,12.146298,6.119978
10.038736,12.055913,5.973858
14.197604,12.217717,6.285208
-0.257762,14.456687,6.003286
3.996023,14.081877,6.262443
8.271198,14.218382,5.975508
12.208671,14.304675,6.163212
-0.068690,-0.129150,8.209004
3.836481,0.041302,8.056781
8.111331,0.034255,8.242432
12.133803,-0.008375,8.123470
1.835463,2.245935,8.269624
6.041443,2.111297,8.436715
10.101747,1.970655,8.131000
14.234914,2.027158,8.228616
-0.068911,3.998182,8.118482
4.129211,3.952641,8.252051
8.271728,4.029022,8.085809
12.165997,4.240814,8.178156
2.233223,6.063242,8.039157
6.263520,6.184846,8.134836
10.171907,6.020485,8.103762
14.234345,5.899274,8.163572
0.025067,8.046804,8.032458
4.149336,8.043051,8.309847
8.364148,8.185205,8.058788
12.382886,8.405846,8.149698
2.234043,10.354398,8.247547
6.094823,10.202042,8.222555
10.178535,10.273019,8.334597
14.419682,9.998546,8.050319
-0.002139,12.400545,8.165648
4.091123,12.225892,8.240812
8.179196,12.098578,8.190504
11.955113,12.021082,8.351886
1.851317,14.222443,8.188222
6.260635,14.048862,8.117022
9.897360,14.253789,8.140349
13.959555,14.417530,8.062294
1.945559,0.076167,10.227831
5.892033,0.047197,10.027592
10.252104,0.133334,10.361723
14.032154,-0.065897,10.177870
-0.140034,1.975250,10.237332
4.132158,2.100222,10.360791
8.279752,1.820521,10.084670
12.235655,2.129664,9.926800
1.944236,4.027406,10.303020
6.115916,4.109760,10.186994
10.126717,3.953048,10.405300
14.010734,4.167579,10.207441
-0.073975,5.988797,9.945195
4.030009,5.987086,10.129193
8.166300,5.984265,9.998181
