x,y,z
0.112878,-0.065881,0.060781
4.033165,-0.000624,-0.155154
7.939326,-0.127389,-0.006513
11.892931,0.060897,-0.023583
2.239019,2.157195,0.146109
6.085195,2.025128,-0.012906
9.865900,2.028388,-0.039613
14.237774,1.992928,0.052068
0.123977,4.198006,0.255677
4.043924,4.016728,-0.075562
8.022647,4.026687,-0.210864
12.150732,3.933678,-0.102519
2.264295,6.104904,-0.035575
6.225415,5.874925,-0.040550
10.202275,6.053647,-0.028946
14.434614,6.065782,0.118070
0.123709,7.964698,0.115896
4.006169,8.074615,-0.206582
8.139960,8.158737,-0.063093
12.200704,8.077879,0.086313
2.069628,10.208119,-0.085671
5.992953,10.065929,-0.041823
10.167787,10.082914,0.080629
14.202107,10.068087,0.025917
-0.145840,12.114464,-0.341847
3.998722,12.138655,0.021772
8.199928,12.055887,0.025699
11.957937,12.278868,0.185951
2.152014,14.286841,-0.036172
6.187305,13.908930,0.033652
9.959396,14.177138,0.033248
14.121208,14.261126,0.002286
2.197897,0.113637,2.090810
6.048716,-0.079096,2.004154
10.412728,-0.087166,2.113388
14.167886,0.066044,1.900586
-0.063134,2.052276,2.016804
4.139771,1.962424,1.989088
8.105413,2.117067,2.053284
12.082839,2.111757,1.977746
2.128368,4.199909,2.193699
6.183538,4.139012,2.354059
10.046176,4.092298,1.895484
14.117600,3.957812,1.932858
0.090941,5.955006,2.198111
4.340766,6.052065,1.869393
8.108311,5.982608,2.058291
12.274065,6.091011,1.859811
2.018266,8.142486,2.150900
6.163072,7.966855,2.026164
10.138414,7.924384,2.017211
14.252369,8.132171,2.034553
0.010050,10.235459,2.016410
3.822116,10.128414,2.079303
7.937186,10.071327,1.984186
12.167333,10.126036,2.050019
1.847966,12.227741,1.784724
6.106955,12.087177,2.190498
10.173509,12.204398,2.435482
14.290860,12.257018,1.887212
-0.013696,14.336269,2.251014
4.082352,14.131662,2.228777
8.024964,14.293289,2.070745
12.235240,14.171518,1.933045
0.244777,0.078896,4.010670
4.080769,-0.050872,3.978251
7.948092,0.307479,4.167962
12.350995,0.000312,4.198584
2.220341,2.075923,4.186887
5.924617,2.079104,4.158622
10.128378,2.177297,3.951463
14.173442,2.094215,4.095792
-0.025646,3.911206,4.029037
4.010462,4.227687,3.983299
8.139563,4.179511,4.231109
12.353203,4.225777,3.930157
2.184935,6.124882,3.880090
6.103590,6.156938,4.178311
10.174832,5.999801,4.136380
14.395269,6.086285,4.020847
-0.009680,8.290987,4.120607
3.980049,7.978462,4.072961
8.028131,7.938473,3.905115
12.180430,8.308921,4.170462
1.945955,10.275224,4.008079
5.967620,10.152665,4.146603
9.980738,10.034403,4.043306
14.251177,10.194722,3.863626
-0.083133,12.371455,4.109186
4.152072,12.200046,3.976880
8.026388,12.109857,3.995993
12.253856,12.289855,4.240538
2.218210,14.023631,3.990154
6.122118,14.328207,4.037777
10.199010,14.356021,4.110040
14.198898,14.307222,4.148783
2.186282,0.155938,5.956857
6.128503,0.192825,6.136952
10.173705,0.029052,5.864122
14.128851,-0.047525,6.275956
0.048648,2.032203,6.135078
4.057295,2.242745,6.450089
8.282300,2.176478,6.207719
12.090020,2.275409,6.071674
1.949303,4.052597,6.086630
6.076210,4.033854,6.103451
10.045409,4.101825,6.136142
14.340854,4.017161,6.216828
0.100068,6.125232,5.957184
3.961273,6.099919,6.126301
8.150692,6.409940,6.094732
12.038310,6.057417,6.019163
1.988967,8.102748,6.050257
5.810728,8.144410,6.085683
10.126397,8.192921,6.222509
14.230972,7.987102,6.163197
-0.165309,10.360448,5.997038
3.997098,10.257186,6.056380
8.077509,10.212283,6.227047
12.184214,10.174382,6.226596
1.931417,12.223878,5.816277
6.100420,12.122058,6.283328
10.030143,12.257021,6.022118
14.339016,12.349231,6.008663
0.311266,14.375082,5.869128
4.101094,14.304437,6.011362
8.174158,14.390509,6.116548
12.201132,14.315589,6.192504
0.054959,0.021109,7.925551
4.077646,-0.115706,8.075062
8.185870,0.119982,8.137796
12.105036,-0.138312,8.157428
2.048516,2.010079,8.184050
6.126567,2.042153,8.239271
10.399560,2.174677,8.243276
13.991435,2.080639,8.070822
-0.037475,4.072974,8.257325
4.074295,4.188103,8.179488
8.147650,4.442670,8.070615
12.281779,4.299156,8.289187
1.992708,5.903614,8.181090
5.939440,6.223825,8.259338
10.311042,6.312176,8.240879
14.062246,6.236365,7.988458
-0.123489,8.253860,8.175433
4.014520,8.261398,8.178052
8.119368,8.108348,8.282200
12.289161,8.135851,8.064307
1.889640,10.105896,8.137455
5.999810,10.134029,7.974053
10.410144,10.242471,8.177170
14.248421,10.245168,7.915044
0.165605,12.190766,8.087565
3.930313,12.179423,7.896841
8.450436,11.998682,8.365378
12.307730,12.303135,7.973739
2.202444,14.137489,7.979220
6.037141,14.305795,8.088085
10.104586,14.197158,8.030107
14.389198,14.308721,8.181611
1.937039,-0.110487,10.111053
5.961060,-0.132909,10.198671
10.179685,-0.155629,10.034967
14.488702,0.048043,9.915898
-0.188487,2.136067,10.287723
4.199108,1.960000,10.098097
8.347607,2.120768,10.015653
12.272204,2.047716,10.106923
2.139432,3.834965,10.176660
6.219927,4.172644,10.175722
10.332738,4.033079,10.310967
14.083900,4.347235,10.165040
0.044136,6.220054,10.228309
4.255928,6.078802,10.282414
8.096452,6.216696,10.265406
12.161179,6.345299,10.386022
1.917375,7.969446,10.301965
6.062809,8.157743,10.139590
10.148905,8.266521,10.269427
14.264875,8.093314,10.061315
0.007648,10.070723,10.288395
3.984668,10.193137,9.859803
8.126303,10.089868,10.156950
12.158913,10.101022,10.193609
1.849115,12.182551,10.168860
5.948609,12.213869,9.990936
10.369912,12.305714,10.336462
14.358319,11.996767,10.050394
0.065724,14.357405,10.003849
4.020085,14.054231,10.077890
8.140974,14.237604,10.131124
12.315146,14.168817,10.156254
-0.028934,-0.051797,12.194119
4.075519,0.148716,12.170986
8.030901,0.061524,12.139929
12.366206,-0.020128,12.041772
2.118683,1.929033,12.238059
6.163111,2.022545,12.023466
10.142638,1.813064,12.065690
14.124006,1.784874,12.150544
-0.046899,4.023359,12.337866
4.136136,3.859223,12.143423
8.228954,4.005670,12.443935
12.171041,3.881582,12.311059
2.233795,5.954471,12.216497
6.351269,6.064875,12.259542
10.362510,6.292000,12.316291
14.285482,5.973624,12.326746
0.029981,8.097246,12.223789
4.204976,8.267815,12.111116
8.201447,8.099750,12.397139
12.476778,8.040965,12.465464
2.168664,10.243825,12.046660
5.945840,10.248381,12.029185
10.044992,9.977059,12.265770
14.227444,10.363340,12.089834
-0.107617,12.341106,12.270413
3.973042,12.204748,12.120256
7.771681,12.148548,12.010325
