x,y,z
1.388326,-0.899084,-7.356267
1.197543,-1.147409,-0.191011
1.622989,1.044980,0.758975
-6.920322,-1.504731,4.241326
-6.241470,4.255847,-2.575685
-4.788590,2.977433,3.972620
-1.911846,-1.953928,2.834616
3.347378,2.510375,2.850594
-0.401785,0.007277,-0.324997
1.195096,4.070528,0.095568
7.572525,4.153174,6.319131
-2.198630,-4.230588,4.914483
-1.888285,6.538572,-2.373873
3.637695,9.979300,-1.532371
0.211869,-0.870747,8.963426
2.882761,-2.265034,-0.270344
2.948560,-6.412682,3.568334
-3.651686,-1.919771,-1.491034
2.049660,-2.060710,2.085701
3.414667,1.255126,-7.317404
-9.131659,2.460145,-2.047732
-1.707010,0.043604,-1.403468
3.767887,-0.881633,-2.644985
5.704084,-3.837817,-2.892065
-1.913313,0.965645,0.951637
2.088079,-0.595946,-3.680970
-0.001425,4.842034,2.992399
-3.833606,2.827687,3.284072
-3.298208,0.692878,1.736023
7.926735,0.756235,-5.029576
-3.313437,-1.524234,-1.489430
0.493649,8.603454,-4.279647
-3.581585,-7.338085,-2.412917
3.369621,-3.200431,4.108594
3.675900,-1.200886,5.095277
5.982489,1.224010,-1.104472
1.317332,1.135866,6.669746
-4.791654,2.746703,5.161705
0.870119,8.599189,-10.404282
1.445617,1.108503,0.168619
-6.400430,-1.315205,-3.191667
-4.741345,-4.590601,3.573994
-1.967526,8.450698,1.715132
-4.381709,3.055965,-1.425586
0.234444,-2.238442,4.795502
-0.587763,-2.174748,-6.564622
-1.088621,3.168119,-0.254225
5.150426,0.723804,4.974127
3.682672,-5.247130,5.323160
-0.003587,-0.611123,6.274099
0.928326,2.350389,3.311093
0.629009,-10.818870,-0.906497
-1.058119,4.750658,-5.660302
-1.721278,5.290866,-0.700928
1.866427,-3.779159,-0.079793
0.612102,-0.205157,8.799791
4.765816,2.681465,1.489755
-0.659255,1.712604,-1.835913
5.641693,-4.702238,-1.367789
3.214718,-0.733303,9.983871
3.076559,0.122856,2.129032
-2.483633,6.726534,-8.480399
-3.432706,-0.253224,-3.429102
6.130759,4.545441,-3.159498
-2.026925,4.728556,1.406868
5.873442,3.210418,5.845821
0.489887,2.901646,-3.742447
3.105470,-1.458093,-4.204491
0.545296,-3.030541,-3.353636
-0.586571,-0.439597,0.963292
2.962402,1.764843,0.398370
0.477623,5.412131,1.135268
-4.917327,3.940960,-5.852464
-2.363608,-4.760391,1.672391
-0.714646,8.577993,-1.031138
1.601067,-2.548412,5.133573
2.466916,0.653673,-7.400922
-2.935876,-0.802687,-4.358786
0.772032,-7.028469,5.389361
5.897994,1.109133,3.531953
3.216012,5.302531,2.089437
2.063057,-3.406793,2.311399
5.112143,0.492665,-2.498271
-2.606640,-4.261930,-1.659840
-4.436777,-3.395573,-1.966248
0.933935,-4.203006,2.441855
-1.587865,11.263003,-1.472706
-10.324636,-0.580302,-1.639534
3.490858,6.862996,-5.887455
1.307131,1.179857,3.700847
-1.877191,-0.519259,-2.573808
-3.014468,1.945091,-5.543566
-3.985505,-9.919585,7.885179
-3.322935,0.791031,1.079256
-2.748719,6.966426,-1.220084
-6.097463,3.906429,5.108698
0.769267,-1.890812,-2.704569
-5.469690,2.604445,1.978904
-3.292543,-1.224515,0.732688
-6.343155,1.487466,-3.060239
4.090878,-3.018897,-1.793146
2.573816,2.072247,9.028120
2.216052,-9.774280,-0.911661
-3.254155,-3.811946,1.957012
-0.121069,-3.916430,-0.654125
0.197970,-4.944964,0.287050
-3.803509,-5.682512,2.478424
-0.736433,-3.554716,-0.870889
-3.914334,-3.808041,3.173649
7.674273,1.576253,1.248515
4.688650,3.199624,2.254758
2.948374,5.065791,-0.485759
4.753429,2.124965,-0.105364
-9.912216,-1.060563,-3.402177
-5.864518,-5.570040,-0.990939
3.366439,5.979097,3.239183
-3.101950,-7.617812,-6.219124
0.290155,2.521025,5.501362
0.766633,-2.772120,-4.046689
-1.169566,-1.657079,0.998398
-1.815350,4.036921,0.392172
1.094235,-1.617926,-2.414186
-3.827056,2.326397,-0.686226
-1.176960,-2.602451,0.337513
-1.527186,2.370998,3.113679
2.756212,2.196748,-4.645173
-3.673430,-2.507509,-1.331656
-5.775833,7.602961,-2.861160
-7.457399,-2.156813,2.232311
2.557826,0.355043,6.655762
6.015399,-9.620928,7.338054
-1.932563,-2.042664,-3.421869
3.499422,-1.374156,7.181893
4.598561,-2.945911,2.007527
-4.538501,-5.283735,2.897690
-2.524871,5.186324,0.475924
2.874461,5.557638,-5.235233
3.235038,5.776002,-0.269316
3.476796,1.440894,-3.767205
-9.851814,6.442706,-0.191801
-5.375679,1.563004,1.358531
0.885954,-0.790746,2.494297
